GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
109864281	5.50e-32	1.02e-34	0.425	12.290647	5.226243	14.99	RNA5-8SN2	RNA, 5.8S ribosomal N2
109864274	5.50e-32	9.99e-35	0.415	12.292055	5.10547	15.29	RNA5-8SN4	RNA, 5.8S ribosomal N4
55329	7.48e-32	1.44e-34	0.236	-12.262675	-2.891854	41.14	MNS1	meiosis specific nuclear structural 1
7504	2.35e-31	4.69e-34	0.222	-12.166446	-2.702616	1427.46	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein
109910381	3.10e-31	6.41e-34	0.415	12.140861	5.03294	15.7	RNA5-8SN3	RNA, 5.8S ribosomal N3
440270	5.93e-31	1.27e-33	0.325	12.08472	3.921555	60.07	GOLGA8B	golgin A8 family member B
7414	7.74e-31	1.77e-33	0.206	-12.057412	-2.482913	34733.5	VCL	vinculin
6693	7.74e-31	1.72e-33	0.268	12.059754	3.237443	52.71	SPN	sialophorin
9468	1.01e-30	2.38e-33	0.197	-12.033025	-2.371308	698.35	PCYT1B	phosphate cytidylyltransferase 1B, choline
360	1.07e-30	2.62e-33	0.469	12.02534	5.641555	16.31	AQP3	aquaporin 3 (Gill blood group)
105369663	3.84e-30	9.65e-33	0.351	11.917038	4.183529	11	LOC105369663	uncharacterized LOC105369663
3688	4.19e-30	1.08e-32	0.208	-11.907317	-2.471063	10957.31	ITGB1	integrin subunit beta 1
475	4.32e-30	1.15e-32	0.193	-11.902496	-2.295856	165.07	ATOX1	antioxidant 1 copper chaperone
5500	6.05e-30	1.66e-32	0.186	-11.871925	-2.206974	3243.63	PPP1CB	protein phosphatase 1 catalytic subunit beta
5257	8.72e-30	2.45e-32	0.181	-11.839154	-2.146476	1911.19	PHKB	phosphorylase kinase regulatory subunit beta
22877	1.04e-29	2.99e-32	0.173	-11.822479	-2.049837	740.96	MLXIP	MLX interacting protein
1982	1.31e-29	3.89e-32	0.204	-11.800342	-2.403126	14531.82	EIF4G2	eukaryotic translation initiation factor 4 gamma 2
8233	2.91e-29	8.83e-32	0.173	-11.731101	-2.026471	613.23	ZRSR2	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2
105374162	5.59e-29	1.74e-31	0.315	11.673788	3.675809	116.4	LOC105374162	
6504	6.20e-29	1.97e-31	0.364	11.663002	4.242598	21.05	SLAMF1	signaling lymphocytic activation molecule family member 1
8754	6.79e-29	2.21e-31	0.208	-11.653305	-2.425278	1063.05	ADAM9	ADAM metallopeptidase domain 9
5734	7.87e-29	2.62e-31	0.319	11.638747	3.710806	20.29	PTGER4	prostaglandin E receptor 4
80232	1.36e-28	4.78e-31	0.149	-11.587263	-1.729877	819.54	WDR26	WD repeat domain 26
8898	1.36e-28	4.81e-31	0.232	-11.5868	-2.692359	945.49	MTMR2	myotubularin related protein 2
4478	1.36e-28	4.83e-31	0.17	-11.586406	-1.975091	8732.27	MSN	moesin
2004	1.88e-28	6.81e-31	0.188	-11.556961	-2.171966	1480.36	ELK3	ETS transcription factor ELK3
10581	2.92e-28	1.08e-30	0.198	-11.517281	-2.278742	2084.49	IFITM2	interferon induced transmembrane protein 2
7739	3.19e-28	1.20e-30	0.214	-11.508005	-2.468251	10172.32	ZNF185	zinc finger protein 185 with LIM domain
10114	4.02e-28	1.54e-30	0.15	-11.48638	-1.723498	968.74	HIPK3	homeodomain interacting protein kinase 3
58513	4.25e-28	1.66e-30	0.173	-11.479954	-1.990539	501.43	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1
51727	9.29e-28	3.71e-30	0.2	-11.410396	-2.280916	5776.55	CMPK1	cytidine/uridine monophosphate kinase 1
1611	1.00e-27	4.07e-30	0.257	-11.402267	-2.935903	1160.34	DAP	death associated protein
4087	1.12e-27	4.62e-30	0.15	-11.391383	-1.705507	1763.95	SMAD2	SMAD family member 2
150759	2.15e-27	9.05e-30	0.376	11.332539	4.25649	14.42	LINC00342	long intergenic non-protein coding RNA 342
6821	2.28e-27	9.82e-30	0.166	-11.325445	-1.8854	335.64	SUOX	sulfite oxidase
84187	2.28e-27	9.95e-30	0.161	-11.324284	-1.825126	319.12	TMEM164	transmembrane protein 164
5573	2.45e-27	1.08e-29	0.202	-11.316718	-2.283293	4604.54	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha
5910	2.96e-27	1.33e-29	0.169	-11.298573	-1.91016	595.99	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1
3690	5.09e-27	2.33e-29	0.222	-11.24936	-2.495663	11901.94	ITGB3	integrin subunit beta 3
135112	5.98e-27	2.78e-29	0.14	-11.233727	-1.568488	453.27	NCOA7	nuclear receptor coactivator 7
257019	6.15e-27	2.91e-29	0.204	-11.229801	-2.286644	4739.62	FRMD3	FERM domain containing 3
10855	7.63e-27	3.67e-29	0.266	-11.209422	-2.985948	528.63	HPSE	heparanase
54414	8.55e-27	4.17e-29	0.216	-11.19801	-2.416392	1508.79	SIAE	sialic acid acetylesterase
154	1.34e-26	6.62e-29	0.396	11.157014	4.414797	18.57	ADRB2	adrenoceptor beta 2
8362	2.45e-26	1.25e-28	0.185	-11.100253	-2.052672	25.14	H4C12	H4 clustered histone 12
924	2.45e-26	1.24e-28	0.263	11.100876	2.92158	16.49	CD7	CD7 molecule
28996	2.70e-26	1.39e-28	0.152	-11.090505	-1.685859	1015.91	HIPK2	homeodomain interacting protein kinase 2
445815	3.23e-26	1.69e-28	0.209	-11.073128	-2.312391	442.95	PALM2AKAP2	PALM2 and AKAP2 fusion
27020	3.45e-26	1.83e-28	0.216	-11.066015	-2.392329	2863.96	NPTN	neuroplastin
824	4.58e-26	2.47e-28	0.195	-11.03925	-2.157244	1784.49	CAPN2	calpain 2
29094	5.63e-26	3.08e-28	0.177	-11.019429	-1.947285	2508.33	LGALSL	galectin like
267	8.23e-26	4.56e-28	0.203	-10.983972	-2.232263	804.48	AMFR	autocrine motility factor receptor
83699	8.85e-26	4.97e-28	0.207	-10.976238	-2.269369	23536.8	SH3BGRL2	SH3 domain binding glutamate rich protein like 2
388969	9.57e-26	5.45e-28	0.174	-10.967999	-1.905367	1144.26	C2orf68	chromosome 2 open reading frame 68
340485	2.05e-25	1.18e-27	0.226	-10.897603	-2.461727	2045.74	ACER2	alkaline ceramidase 2
2323	3.33e-25	1.94e-27	0.302	10.852362	3.276736	27.56	FLT3LG	fms related receptor tyrosine kinase 3 ligand
106633814	3.42e-25	2.02e-27	0.215	-10.848662	-2.332917	308.31	SNORA86	small nucleolar RNA, H/ACA box 86
55856	3.45e-25	2.07e-27	0.159	-10.846749	-1.729622	551.02	ACOT13	acyl-CoA thioesterase 13
6418	3.52e-25	2.13e-27	0.133	-10.843771	-1.438011	1268.54	SET	SET nuclear proto-oncogene
54855	3.57e-25	2.19e-27	0.211	-10.84146	-2.28336	1859.83	TENT5C	terminal nucleotidyltransferase 5C
2212	3.79e-25	2.35e-27	0.242	-10.834808	-2.625763	1554.74	FCGR2A	Fc gamma receptor IIa
5782	4.29e-25	2.69e-27	0.176	-10.822499	-1.909224	3646.75	PTPN12	protein tyrosine phosphatase non-receptor type 12
857	4.35e-25	2.77e-27	0.269	-10.820062	-2.914214	117.89	CAV1	caveolin 1
25777	4.98e-25	3.21e-27	0.27	10.806547	2.921212	55.3	SUN2	Sad1 and UNC84 domain containing 2
90594	5.66e-25	3.68e-27	0.431	10.793761	4.647053	14.46	ZNF439	zinc finger protein 439
51390	6.35e-25	4.18e-27	0.182	-10.782151	-1.957003	1727.51	AIG1	androgen induced 1
4898	7.23e-25	4.81e-27	0.189	-10.769229	-2.039179	2332.25	NRDC	nardilysin convertase
51164	8.90e-25	6.00e-27	0.199	-10.748909	-2.136312	573.07	DCTN4	dynactin subunit 4
79026	8.90e-25	6.05e-27	0.239	10.748095	2.564324	238.52	AHNAK	AHNAK nucleoprotein
64061	9.08e-25	6.25e-27	0.231	-10.745159	-2.486597	202.03	TSPYL2	TSPY like 2
5627	9.14e-25	6.35e-27	0.24	-10.743587	-2.579789	2206.21	PROS1	protein S
3959	1.00e-24	7.03e-27	0.28	-10.734279	-3.007876	221.65	LGALS3BP	galectin 3 binding protein
102465513	1.10e-24	7.79e-27	0.273	-10.724707	-2.932785	86.43	MIR6852	microRNA 6852
1495	1.10e-24	7.91e-27	0.182	-10.723309	-1.953544	493.46	CTNNA1	catenin alpha 1
55652	1.19e-24	8.59e-27	0.161	-10.715742	-1.727555	128.54	SLC48A1	solute carrier family 48 member 1
6786	1.60e-24	1.18e-26	0.193	-10.686059	-2.058612	563.75	STIM1	stromal interaction molecule 1
6049	1.60e-24	1.19e-26	0.198	-10.685296	-2.1139	474.5	RNF6	ring finger protein 6
54757	1.60e-24	1.19e-26	0.207	-10.685585	-2.209964	2862.4	FAM20A	FAM20A golgi associated secretory pathway pseudokinase
5578	2.01e-24	1.51e-26	0.189	-10.663223	-2.016225	636.01	PRKCA	protein kinase C alpha
64599	2.13e-24	1.62e-26	0.261	10.656688	2.78054	53.83	GIGYF1	GRB10 interacting GYF protein 1
22978	2.47e-24	1.90e-26	0.139	-10.642199	-1.480735	240.53	NT5C2	5'-nucleotidase, cytosolic II
374618	2.64e-24	2.05e-26	0.233	-10.63505	-2.476911	609.46	TEX9	testis expressed 9
105378721	2.71e-24	2.12e-26	0.196	-10.631593	-2.080236	86.92	LOC105378721	
79628	2.74e-24	2.17e-26	0.191	-10.629664	-2.025847	783.6	SH3TC2	SH3 domain and tetratricopeptide repeats 2
8837	2.75e-24	2.20e-26	0.127	-10.628414	-1.354355	826.67	CFLAR	CASP8 and FADD like apoptosis regulator
80709	3.97e-24	3.20e-26	0.229	10.593297	2.426129	60.76	AKNA	AT-hook transcription factor
10257	4.72e-24	3.84e-26	0.23	-10.57623	-2.435665	3310.48	ABCC4	ATP binding cassette subfamily C member 4
9240	4.85e-24	3.98e-26	0.218	-10.572826	-2.30537	785.4	PNMA1	PNMA family member 1
145474	5.34e-24	4.43e-26	0.491	10.562948	5.186451	12.74	LOC145474	uncharacterized LOC145474
105373372	5.59e-24	4.67e-26	0.23	-10.557938	-2.426492	130.03	LOC105373372	uncharacterized LOC105373372
8672	6.88e-24	5.80e-26	0.163	-10.537569	-1.715573	1424.73	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
55144	7.38e-24	6.27e-26	0.193	-10.530188	-2.027643	1408.56	LRRC8D	leucine rich repeat containing 8 VRAC subunit D
957	7.61e-24	6.53e-26	0.182	-10.526423	-1.91203	219.99	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)
8036	1.09e-23	9.39e-26	0.17	-10.492148	-1.786775	1540.26	SHOC2	SHOC2 leucine rich repeat scaffold protein
64919	1.13e-23	9.87e-26	0.316	10.487392	3.318207	82.87	BCL11B	BCL11 transcription factor B
92106	1.21e-23	1.07e-25	0.222	10.480073	2.322937	103.83	OXNAD1	oxidoreductase NAD binding domain containing 1
4154	1.21e-23	1.07e-25	0.207	-10.479653	-2.174235	22189.86	MBNL1	muscleblind like splicing regulator 1
107985538	1.21e-23	1.08e-25	0.446	10.478963	4.674451	21.35	SGSM3-AS1	SGSM3 antisense RNA 1
81688	1.39e-23	1.26e-25	0.227	-10.464639	-2.378457	13307.29	C6orf62	chromosome 6 open reading frame 62
23648	1.44e-23	1.31e-25	0.146	-10.460425	-1.525762	179.51	SSBP3	single stranded DNA binding protein 3
23603	1.48e-23	1.36e-25	0.214	-10.457135	-2.236754	5181.97	CORO1C	coronin 1C
29967	1.51e-23	1.39e-25	0.188	-10.454813	-1.962196	469.68	LRP12	LDL receptor related protein 12
8804	1.57e-23	1.46e-25	0.229	-10.450336	-2.387927	848.38	CREG1	cellular repressor of E1A stimulated genes 1
1523	2.19e-23	2.06e-25	0.177	-10.417718	-1.848408	1466.4	CUX1	cut like homeobox 1
7320	2.46e-23	2.33e-25	0.146	-10.405911	-1.516276	962.49	UBE2B	ubiquitin conjugating enzyme E2 B
100131897	2.76e-23	2.63e-25	0.446	10.394205	4.640136	22.97	INSYN2B	inhibitory synaptic factor family member 2B
1428	2.81e-23	2.70e-25	0.292	-10.391871	-3.037687	277.17	CRYM	crystallin mu
8545	2.89e-23	2.81e-25	0.179	-10.388224	-1.859132	2500.84	CGGBP1	CGG triplet repeat binding protein 1
23530	2.89e-23	2.82e-25	0.197	-10.387577	-2.050236	732.67	NNT	nicotinamide nucleotide transhydrogenase
22821	3.15e-23	3.09e-25	0.198	-10.378883	-2.051192	1189.23	RASA3	RAS p21 protein activator 3
9839	4.33e-23	4.33e-25	0.166	-10.346684	-1.715676	2047.87	ZEB2	zinc finger E-box binding homeobox 2
105374152	4.33e-23	4.29e-25	0.442	10.347625	4.568512	19.78	LOC105374152	
6915	4.33e-23	4.35e-25	0.199	-10.346286	-2.056665	307.22	TBXA2R	thromboxane A2 receptor
51465	4.95e-23	5.01e-25	0.182	-10.332747	-1.881674	1350.22	UBE2J1	ubiquitin conjugating enzyme E2 J1
57161	5.25e-23	5.35e-25	0.186	-10.326388	-1.919621	638.84	PELI2	pellino E3 ubiquitin protein ligase family member 2
149013	5.29e-23	5.44e-25	0.215	10.324942	2.215836	34.7	NBPF12	NBPF member 12
100499466	5.37e-23	5.56e-25	0.185	-10.322735	-1.913784	998.48	LINC00674	long intergenic non-protein coding RNA 674
7072	6.90e-23	7.19e-25	0.179	-10.298023	-1.847402	863.99	TIA1	TIA1 cytotoxic granule associated RNA binding protein
5140	6.98e-23	7.33e-25	0.37	10.296211	3.814495	25.76	PDE3B	phosphodiesterase 3B
151903	7.14e-23	7.55e-25	0.173	10.29333	1.784612	80.59	CCDC12	coiled-coil domain containing 12
25957	7.14e-23	7.60e-25	0.171	10.292719	1.764579	310.08	PNISR	PNN interacting serine and arginine rich protein
60468	7.54e-23	8.08e-25	0.314	10.28684	3.225519	64.5	BACH2	BTB domain and CNC homolog 2
7094	8.21e-23	8.86e-25	0.207	-10.277982	-2.129343	19171.87	TLN1	talin 1
10444	8.38e-23	9.11e-25	0.196	-10.275272	-2.009272	149.96	ZER1	zyg-11 related cell cycle regulator
54790	8.79e-23	9.62e-25	0.142	-10.270022	-1.458119	844.65	TET2	tet methylcytosine dioxygenase 2
26523	9.03e-23	9.94e-25	0.162	-10.266831	-1.662722	424.7	AGO1	argonaute RISC component 1
107986265	9.36e-23	1.04e-24	0.188	-10.262716	-1.933129	460.69	LOC107986265	
124359	9.36e-23	1.04e-24	0.269	-10.262083	-2.764863	87.76	CDYL2	chromodomain Y like 2
114769	1.21e-22	1.36e-24	0.18	-10.236237	-1.84665	929.29	CARD16	caspase recruitment domain family member 16
195828	1.47e-22	1.66e-24	0.211	-10.216999	-2.15918	350.56	ZNF367	zinc finger protein 367
106635534	1.70e-22	1.93e-24	0.222	-10.202503	-2.262755	500.1	SNORA104	small nucleolar RNA, H/ACA box 104
10079	1.74e-22	1.99e-24	0.197	-10.199444	-2.011267	1151.58	ATP9A	ATPase phospholipid transporting 9A (putative)
79600	1.77e-22	2.04e-24	0.252	10.197202	2.567754	41.67	TCTN1	tectonic family member 1
783	1.88e-22	2.18e-24	0.291	10.190612	2.966664	59.75	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2
23094	1.93e-22	2.25e-24	0.284	10.187619	2.889415	23.42	SIPA1L3	signal induced proliferation associated 1 like 3
151613	2.37e-22	2.79e-24	0.364	10.166892	3.700806	72.95	TTC14	tetratricopeptide repeat domain 14
1836	2.42e-22	2.86e-24	0.348	10.164315	3.536668	25.6	SLC26A2	solute carrier family 26 member 2
51747	2.49e-22	2.96e-24	0.15	10.161034	1.521864	340.07	LUC7L3	LUC7 like 3 pre-mRNA splicing factor
998	2.77e-22	3.32e-24	0.161	-10.14973	-1.636318	4623.81	CDC42	cell division cycle 42
112268446	2.86e-22	3.45e-24	0.413	10.146045	4.185477	22.24	LOC112268446	
8774	2.88e-22	3.49e-24	0.171	-10.144837	-1.735416	429.55	NAPG	NSF attachment protein gamma
8073	3.01e-22	3.67e-24	0.184	-10.140011	-1.864784	4447.48	PTP4A2	protein tyrosine phosphatase 4A2
54674	3.15e-22	3.86e-24	0.456	10.135071	4.618662	36.24	LRRN3	leucine rich repeat neuronal 3
221035	3.25e-22	4.02e-24	0.172	-10.131219	-1.747568	645.97	REEP3	receptor accessory protein 3
526	3.53e-22	4.40e-24	0.18	-10.122256	-1.818468	413.2	ATP6V1B2	ATPase H+ transporting V1 subunit B2
107987295	3.53e-22	4.41e-24	0.181	-10.122116	-1.832402	307.92	LINC02246	long intergenic non-protein coding RNA 2246
57101	3.70e-22	4.65e-24	0.192	-10.116883	-1.937591	75.87	ANO2	anoctamin 2
64795	4.28e-22	5.42e-24	0.194	-10.101955	-1.960481	1712.58	RMND5A	required for meiotic nuclear division 5 homolog A
54622	4.33e-22	5.51e-24	0.214	-10.100281	-2.158555	968.24	ARL15	ADP ribosylation factor like GTPase 15
23576	4.80e-22	6.14e-24	0.29	-10.08969	-2.926843	234.36	DDAH1	dimethylarginine dimethylaminohydrolase 1
4352	4.95e-22	6.37e-24	0.208	-10.085993	-2.095707	3808.52	MPL	MPL proto-oncogene, thrombopoietin receptor
5955	5.23e-22	6.77e-24	0.285	10.080044	2.877598	17.67	RCN2	reticulocalbin 2
6480	5.82e-22	7.58e-24	0.204	-10.068966	-2.050954	839.14	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
8714	6.32e-22	8.28e-24	0.224	-10.060294	-2.252647	3421.91	ABCC3	ATP binding cassette subfamily C member 3
6403	6.54e-22	8.62e-24	0.234	-10.056298	-2.353161	5697.75	SELP	selectin P
55841	6.54e-22	8.65e-24	0.177	-10.055893	-1.780698	174.55	WWC3	WWC family member 3
440823	6.87e-22	9.14e-24	0.295	10.050554	2.962942	24.2	MIAT	myocardial infarction associated transcript
283377	6.91e-22	9.24e-24	0.299	10.04943	3.008946	33.83	SPRYD4	SPRY domain containing 4
8417	6.94e-22	9.34e-24	0.167	-10.04838	-1.678824	1938.71	STX7	syntaxin 7
57153	7.12e-22	9.63e-24	0.212	-10.04537	-2.130618	4423.84	SLC44A2	solute carrier family 44 member 2
5046	7.58e-22	1.03e-23	0.22	-10.038682	-2.2067	993.19	PCSK6	proprotein convertase subtilisin/kexin type 6
58517	7.62e-22	1.04e-23	0.205	10.037563	2.059352	196.51	RBM25	RNA binding motif protein 25
54516	7.89e-22	1.08e-23	0.225	-10.033609	-2.25953	700.08	MTRF1L	mitochondrial translation release factor 1 like
57157	8.96e-22	1.24e-23	0.178	-10.020535	-1.781607	445.85	PHTF2	putative homeodomain transcription factor 2
54887	9.66e-22	1.34e-23	0.208	-10.012513	-2.087027	242.43	BLTP3A	bridge-like lipid transfer protein family member 3A
55041	9.90e-22	1.38e-23	0.188	-10.009578	-1.880408	1061.98	PLEKHB2	pleckstrin homology domain containing B2
25956	9.93e-22	1.39e-23	0.39	10.008761	3.899243	20.62	SEC31B	SEC31 homolog B, COPII coat complex component
7280	1.08e-21	1.52e-23	0.368	-10.000243	-3.676533	173.62	TUBB2A	tubulin beta 2A class IIa
83693	1.12e-21	1.59e-23	0.209	-9.995692	-2.092925	336.27	HSDL1	hydroxysteroid dehydrogenase like 1
4735	1.16e-21	1.65e-23	0.21	-9.991896	-2.096753	5948.13	SEPTIN2	septin 2
619383	1.20e-21	1.73e-23	0.413	9.987627	4.125222	8.79	SCARNA9	small Cajal body-specific RNA 9
5524	1.28e-21	1.84e-23	0.176	-9.981257	-1.753513	148.14	PTPA	protein phosphatase 2 phosphatase activator
5205	1.32e-21	1.91e-23	0.328	9.977484	3.277144	32.57	ATP8B1	ATPase phospholipid transporting 8B1
5494	1.41e-21	2.05e-23	0.166	-9.970449	-1.657691	1542.22	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
2314	1.52e-21	2.23e-23	0.21	-9.962265	-2.093512	684.26	FLII	FLII actin remodeling protein
7570	1.66e-21	2.44e-23	0.197	-9.953435	-1.959511	538.28	ZNF22	zinc finger protein 22
9214	1.68e-21	2.50e-23	0.27	9.950769	2.690586	100.6	FCMR	Fc mu receptor
107984210	1.68e-21	2.50e-23	0.353	9.951034	3.509286	15.71	LOC107984210	uncharacterized LOC107984210
351	1.86e-21	2.78e-23	0.173	-9.94034	-1.72285	473.99	APP	amyloid beta precursor protein
5567	1.90e-21	2.85e-23	0.224	-9.93774	-2.223285	2583.65	PRKACB	protein kinase cAMP-activated catalytic subunit beta
101752399	1.91e-21	2.87e-23	0.244	9.936979	2.42883	27.02	STAG3L5P-PVRIG2P-PILRB	STAG3L5P-PVRIG2P-PILRB readthrough
1027	2.13e-21	3.22e-23	0.306	9.925516	3.03835	14.02	CDKN1B	cyclin dependent kinase inhibitor 1B
3842	2.29e-21	3.49e-23	0.187	-9.91773	-1.858133	548.02	TNPO1	transportin 1
29121	2.45e-21	3.76e-23	0.252	9.910182	2.501948	218.86	CLEC2D	C-type lectin domain family 2 member D
196527	2.45e-21	3.77e-23	0.205	-9.909778	-2.032646	4963.82	ANO6	anoctamin 6
3717	2.62e-21	4.04e-23	0.206	-9.902949	-2.042864	386.25	JAK2	Janus kinase 2
10618	2.63e-21	4.09e-23	0.176	-9.901788	-1.74513	1738.54	TGOLN2	trans-golgi network protein 2
8876	2.72e-21	4.25e-23	0.239	-9.897972	-2.368567	259.92	VNN1	vanin 1
107987043	3.02e-21	4.76e-23	0.433	9.886634	4.276643	15.49	LOC107987043	uncharacterized LOC107987043
23250	3.02e-21	4.75e-23	0.179	-9.886812	-1.773102	159.32	ATP11A	ATPase phospholipid transporting 11A
84914	3.09e-21	4.88e-23	0.236	9.884078	2.328151	41.67	ZNF587	zinc finger protein 587
2040	3.50e-21	5.57e-23	0.222	-9.870919	-2.190765	11452.03	STOM	stomatin
286530	3.66e-21	5.85e-23	0.347	9.865941	3.423449	42.15	P2RY8	P2Y receptor family member 8
5579	4.02e-21	6.44e-23	0.178	-9.856201	-1.755994	2704.52	PRKCB	protein kinase C beta
55911	4.46e-21	7.18e-23	0.342	9.845334	3.3664	15.16	APOBR	apolipoprotein B receptor
105379173	4.67e-21	7.57e-23	0.203	-9.840066	-1.998503	1290.4	LOC105379173	uncharacterized LOC105379173
8905	5.14e-21	8.36e-23	0.232	-9.829975	-2.282502	1895.1	AP1S2	adaptor related protein complex 1 subunit sigma 2
10311	5.52e-21	9.02e-23	0.207	-9.82241	-2.037371	522.33	VPS26C	VPS26 endosomal protein sorting factor C
728448	5.60e-21	9.19e-23	0.363	9.820511	3.562496	18.73	PPIEL	peptidylprolyl isomerase E like pseudogene
100507401	5.73e-21	9.45e-23	0.257	-9.817634	-2.52051	15.36	LRP4-AS1	LRP4 antisense RNA 1
80025	5.92e-21	9.80e-23	0.155	-9.813987	-1.521587	328.37	PANK2	pantothenate kinase 2
23333	6.09e-21	1.01e-22	0.212	-9.810655	-2.084163	250.56	DPY19L1	dpy-19 like C-mannosyltransferase 1
8567	6.22e-21	1.04e-22	0.197	-9.808055	-1.930055	860.58	MADD	MAP kinase activating death domain
730268	6.24e-21	1.05e-22	0.208	-9.80739	-2.041981	290.24	ANAPC1P4	ANAPC1 pseudogene 4
6932	6.76e-21	1.14e-22	0.303	9.798843	2.96933	160.84	TCF7	transcription factor 7
57584	7.01e-21	1.19e-22	0.179	-9.794643	-1.750567	1282.66	ARHGAP21	Rho GTPase activating protein 21
55353	7.57e-21	1.29e-22	0.251	-9.786443	-2.457382	242.52	LAPTM4B	lysosomal protein transmembrane 4 beta
375513	8.12e-21	1.39e-22	0.349	9.778968	3.416903	8.59	GUSBP4	GUSB pseudogene 4
5834	8.13e-21	1.39e-22	0.225	-9.778358	-2.202903	2046.29	PYGB	glycogen phosphorylase B
105378248	8.50e-21	1.46e-22	0.417	9.773378	4.075635	14.54	LOC105378248	uncharacterized LOC105378248
55534	9.62e-21	1.66e-22	0.189	-9.760448	-1.844747	284.63	MAML3	mastermind like transcriptional coactivator 3
1810	1.09e-20	1.90e-22	0.156	-9.746928	-1.518417	1333.82	DR1	down-regulator of transcription 1
112268313	1.18e-20	2.07e-22	0.338	9.738539	3.295789	35.37	LOC112268313	
6431	1.22e-20	2.13e-22	0.236	-9.735367	-2.29356	16620.39	SRSF6	serine and arginine rich splicing factor 6
23365	1.25e-20	2.20e-22	0.167	-9.732235	-1.628736	1055.42	ARHGEF12	Rho guanine nucleotide exchange factor 12
80817	1.27e-20	2.25e-22	0.167	-9.729957	-1.625364	336.25	CEP44	centrosomal protein 44
28755	1.27e-20	2.26e-22	0.27	9.729537	2.622595	357.53	TRAC	T cell receptor alpha constant
644019	1.30e-20	2.31e-22	0.156	9.727088	1.513057	37.4	ZNG1F	Zn regulated GTPase metalloprotein activator 1F
441081	1.35e-20	2.41e-22	0.32	9.722747	3.115498	24.28	LOC441081	POM121 membrane glycoprotein (rat) pseudogene
10672	1.41e-20	2.54e-22	0.184	-9.717533	-1.790685	1340.87	GNA13	G protein subunit alpha 13
